"","year","area","cpue_lrg","cpue_all","df","t","se_lrg","se_all","cv_all","ci_lrg","ci_all","peX15_lrg","peX15_all","metGoal_lrg","metGoal_all"
"1",1992,1,0.830065065116279,0.860314502325581,42,2.01808170281844,0.0191141798509361,0.0191141798509361,66.7150091490003,0.0385739766215551,0.0385739766215551,0.124509759767442,0.129047175348837,"YES","YES"
"2",1992,2,0.423421673282443,0.619313099236641,130,1.97838040544701,0.00534561826059066,0.00534561826059066,62.3797279544036,0.0105756664217523,0.0105756664217523,0.0635132509923664,0.0928969648854961,"YES","YES"
"3",1992,3,0.572949243428571,0.748059060571429,130,1.97838040544701,0.00915841192021593,0.00915841192021593,74.0267927768305,0.0181188226879675,0.0181188226879675,0.0859423865142857,0.112208859085714,"YES","YES"
"4",1993,1,0.664462213953488,0.689584627906977,42,2.01808170281844,0.0146366513578842,0.0146366513578842,63.7911950319055,0.0295379582958789,0.0295379582958789,0.0996693320930232,0.103437694186047,"YES","YES"
"5",1993,2,0.301863353846154,0.475519575384615,128,1.97867084983782,0.00481530074791997,0.00481530074791997,75.0536152041939,0.0095278952231115,0.0095278952231115,0.0452795030769231,0.0713279363076922,"YES","YES"
"6",1993,3,0.126040446052632,0.191453842105263,118,1.98027224927295,0.00299905665659145,0.00299905665659145,104.531937088643,0.00593894867104539,0.00593894867104539,0.0189060669078948,0.0287180763157894,"YES","YES"
"7",1994,1,0.2835943,0.39733265,43,2.01669219922782,0.0073537435358222,0.0073537435358222,76.6203121163251,0.0148302372238147,0.0148302372238147,0.042539145,0.0595998975,"YES","YES"
"8",1994,2,0.17687065,0.412030116666667,129,1.97852449147925,0.00289125651011825,0.00289125651011825,73.2511754917581,0.00572042181641776,0.00572042181641776,0.0265305975,0.0618045175,"YES","YES"
"9",1994,3,0.168117670391061,0.410256381005587,134,1.97782575808712,0.00163982991047953,0.00163982991047953,82.7516408227044,0.00324329783582811,0.00324329783582811,0.0252176505586592,0.061538457150838,"YES","YES"
"10",1995,1,0.46848175,0.6684007,43,2.01669219922782,0.00958434813158807,0.00958434813158807,60.2845801064285,0.0193286801116574,0.0193286801116574,0.0702722625,0.100260105,"YES","YES"
"11",1995,2,0.301524181538461,0.609831809230769,129,1.97852449147925,0.00325437985623852,0.00325437985623852,58.471302817544,0.00643887025014462,0.00643887025014462,0.0452286272307691,0.0914747713846153,"YES","YES"
"12",1995,3,0.3333235125,0.5541613,131,1.97823853923037,0.00597245416993523,0.00597245416993523,92.1315879608379,0.011814939012753,0.011814939012753,0.049998526875,0.083124195,"YES","YES"
"13",1996,1,NA,0.5782117,1,12.7062047361747,0,0,82.5658613607189,0,0,NA,0.086731755,NA,"YES"
"14",1996,2,NA,0.530455132824427,21,2.07961384472768,0,0,82.6872433390639,0,0,NA,0.079568269923664,NA,"YES"
"15",1996,3,NA,0.498370098285714,21,2.07961384472768,0,0,73.6394847071353,0,0,NA,0.0747555147428571,NA,"YES"
"16",1997,1,0.4499429,0.50355525,42,2.01808170281844,0.0143617638787399,0.0143617638787399,94.1895170749728,0.0289832129038838,0.0289832129038838,0.067491435,0.0755332875,"YES","YES"
